measure,count
1-2-3-Trichlorobenzene,76
1-2-4-Trichlorobenzene,76
AGOC-3A,474
AOX,492
Acenaphthene,76
Acenaphthylene,76
Alachlor,528
Aldrin,692
Aluminium,126
Ammonium,4790
Anionic active surfactants,2220
Anthracene,90
Arsenic,1004
Atrazine,2137
Barium,120
Benzo(a)anthracene,90
Benzo(a)pyrene,98
Benzo(b)fluoranthene,98
Benzo(g-h-i)perylene,22
Benzo(k)fluoranthene,98
Berilium,13
Bicarbonates,2826
Biochemical Oxygen,4488
Boron,13
Cadmium,2963
Calcium,3765
Carbonates,36
Cesium,120
Chemical Oxygen Demand (Cr),3718
Chemical Oxygen Demand (Mn),3890
Chlorides,3961
Chlorodinine,474
Chromium,3015
Chrysene,76
Copper,3002
Cyanides,386
Dieldrin,597
Dissolved organic carbon,20
Dissolved oxygen,4531
Dissolved silicates,564
Endosulfan (alpha),566
Endosulfan (beta),528
Endrin,710
Fecal coliforms,1490
Fecal streptococci ,1301
Fluoranthene,98
Fluorene,15
Heptachlor,589
Heptachloroepoxide,491
Hexachlorobenzene,90
Indeno(1-2-3-c-d)pyrene,22
Inorganic nitrogen,64
Iron,2710
Isodrin,89
Lead,3006
Macrozoobenthos,1273
Magnesium,3796
Manganese,4039
Mercury,1764
Methoxychlor,16
Methylosmoline,474
Metolachlor,522
Naphthalene,90
Nickel,2442
Nitrates,4786
Nitrites,4791
Organic nitrogen,110
Orthophosphate-phosphorus,4782
Oxygen saturation,2177
PAHs,7
PCB 101,98
PCB 118,12
PCB 138,98
PCB 153,98
PCB 180,98
PCB 28,8
PCB 52,8
Pentachlorobenzene,88
Petroleum hydrocarbons,1185
Phenanthrene,90
Potassium,2142
Pyrene,76
Selenium,75
Silica (SiO2),1668
Simazine,441
Sodium,2171
Sulfides,389
Sulphates,3253
Tetrachloromethane,474
Total coliforms,1615
Total dissolved phosphorus,521
Total dissolved salts,2789
Total extractable matter,156
Total hardness,1672
Total nitrogen,2553
Total organic carbon,418
Total phosphorus,4600
Trifluralin,12
Water temperature,5031
Zinc,2982
alpha-Hexachlorocyclohexane,603
beta-Hexaxchlorocyclohexane,639
gamma-Hexachlorocyclohexane,2580
p-p-DDD,632
p-p-DDE,661
p-p-DDT,2209
